Date,Traffic,ConversionRate,Revenue,Device,PageLoadSec,CheckoutDropoffPct,AOV
2024-01-01,12400,3.6,178560,Desktop,2.4,48,400
2024-01-08,12150,3.5,170100,Desktop,2.6,50,399
2024-01-15,11920,3.4,162112,Desktop,2.8,52,398
2024-01-22,11610,3.2,148608,Desktop,2.9,54,400
2024-01-29,11380,3.1,141112,Desktop,3.0,55,401
2024-02-05,11020,2.9,130036,Desktop,3.1,57,407
2024-02-12,10680,2.8,122304,Desktop,3.2,58,409
2024-02-19,10310,2.7,115472,Desktop,3.3,59,414
2024-02-26,9980,2.6,108588,Desktop,3.4,60,418
2024-03-04,9610,2.5,101386,Desktop,3.5,62,422
